State /UT ,Mean ,SE 
Lakshadweep ,212,12.7
Madhya Pradesh ,206,0.3
Maharashtra ,202,0.3
Manipur ,219,1.5
Meghalayal ,192,1.7
Mizoram ,189,2.2
Nagaland ,204,1.9
Odisha ,205,0.4
Puducherry ,225,1.8
Punjab ,254,0.6
Rajasthan ,238,0.4
Sikkim ,200,2.7
Tamil Nadu ,195,0.3
Telangana ,202,0.5
Tripura ,198,1.4
Uttar Pradesh ,191,0.2
Uttarakhand ,207,0.7
West Bengal ,205,0.4
National ,206,0.1
