State /UT ,Mean ,SE 
Lakshadweep ,233,9.8
Madhya Pradesh ,268,0.3
Maharashtra ,267,0.3
Manipur ,218,1.3
Meghalaya ,212,2.0
Mizoram ,204,2.7
Nagaland ,212,1.9
Odisha ,252,0.3
Puducherry ,216,3.0
Punjab ,288,0.4
Rajasthan ,280,0.3
Sikkim ,233,2.8
Tamil Nadu ,254,0.3
Telangana ,242,0.3
Tripura ,250,1.2
Uttar Pradesh ,252,0.2
Uttarakhand ,263,0.7
West Bengal ,265,0.3
National ,260,0.1
