State /UT ,Mean ,SE 
Andaman &Nicobar Islands ,224,3.8
Andhra Pradesh ,217,0.5
Arunachal Pradesh ,203,1.9
Assam ,221,0.5
Bihar ,229,0.3
Chandigarh ,261,2.6
Chhattisgarh ,202,0.4
Dadra &Nagar Haveli ,201,2.4
Daman &Diu ,208,5.2
Delhi ,230,0.5
Goa ,213,2.1
Gujarat ,211,0.3
Haryana ,242,0.5
Himachal Pradesh ,209,0.9
Jammu &Kashmir ,216,0.9
Jharkhand ,218,0.4
Karnataka ,219,0.4
Kerala ,210,0.3
Ladakh ,208,4.4
