State /UT ,Mean ,SE 
Andaman &Nicobar Islands ,229,4.8
Andhra Pradesh ,205,0.4
Arunachal Pradesh ,209,2.5
Assam ,202,0.5
Bihar ,202,0.3
Chandigarh ,260,0.5
Chhattisgarh ,189,0.4
Dadra &Nagar Haveli ,190,2.9
Daman &Diu ,204,6.3
Delhi ,233,0.6
Goa ,230,2.5
Gujarat ,201,0.3
Haryana ,230,0.5
Himachal Pradesh ,205,1
Jammu &Kashmir ,218,1.1
Jharkhand ,204,0.4
Karnataka ,206,0.4
Kerala ,208,0.4
Ladakh ,218,5.9
