State /UT ,Mean ,SE 
Andaman &Nicobar Islands ,245,4.8
Andhra Pradesh ,228,0.5
Arunachal Pradesh ,240,2.7
Assam ,226,0.5
Bihar ,222,0.3
Chandigarh ,287,2.6
Chhattisgarh ,216,0.4
Dadra &Nagar Haveli ,216,2.9
Daman &Diu ,231,6.9
Delhi ,259,0.6
Goa ,256,2.5
Gujarat ,232,0.3
Haryana ,254,0.6
Himachal Pradesh ,234,1.1
Jammu &Kashmir ,237,1.1
Jharkhand ,231,0.4
Karnataka ,235,0.4
Kerala ,239,0.4
Ladakh ,237,7
