State /UT ,Mean ,SE 
Lakshadweep ,201,6.8
Madhya Pradesh ,226,0.3
Maharashtra ,211,0.3
Manipur ,217,1.3
Meghalaya ,198,1.4
Mizoram ,200,1.8
Nagaland ,200,1.8
Odisha ,224,0.4
Puducherry ,226,2
Punjab ,273,0.7
Rajasthan ,256,0.5
Sikkim ,195,2.2
Tamil Nadu ,200,0.3
Telangana ,210,0.4
Tripura ,214,1.5
Uttar Pradesh ,211,0.2
Uttarakhand ,218,0.7
West Bengal ,214,0.4
National ,220,0.1
