State /UT ,Mean ,SE 
Lakshadweep ,230,11.2
Madhya Pradesh ,229,0.3
Maharashtra ,233,0.3
Manipur ,246,1.7
Meghalaya ,216,1.6
Mizoram ,217,2.3
Nagaland ,241,2.1
Odisha ,227,0.4
Puducherry ,255,2.2
Punjab ,270,0.5
Rajasthan ,261,0.4
Sikkim ,237,2.9
Tamil Nadu ,222,0.3
Telangana ,226,0.5
Tripura ,225,1.4
Uttar Pradesh ,214,0.2
Uttarakhand ,231,0.7
West Bengal ,232,0.4
National ,231,0.1
