State /UT ,Mean ,SE 
Lakshadweep ,290,13
Madhya Pradesh ,273,0.3
Maharashtra ,286,0.3
Manipur ,311,1.8
Meghalaya ,278,2
Mizoram ,279,3
Nagaland ,312,2.6
Odisha ,273,0.4
Puducherry ,325,2.3
Punjab ,330,0.5
Rajasthan ,289,0.4
Sikkim ,303,3.5
Tamil Nadu ,275,0.4
Telangana ,291,0.5
Tripura ,273,1.5
Uttar Pradesh ,253,0.2
Uttarakhand ,280,0.8
West Bengal ,279,0.4
National ,277,0.1
