States /UTs /Boards ,Average Score ,Standard Error 
Andaman and Nicobar Islands ,251,2.4
Andhra Pradesh ,274,0.9
Arunachal Pradesh ,269,1.8
Assam ,263,0.7
Bihar ,230,0.8
Chandigarh ,253,2.7
Chhattisgarh ,231,0.2
Dadra and Nagar Haveli ,236,2.2
Daman and Diu ,257,8.1
Delhi ,259,1.2
Goa ,297,1.8
Gujarat ,240,0.6
