States /UTs /Boards ,Average Score ,Standard Error 
Andaman and Nicobar Islands ,243,7.2
Andhra Pradesh ,269,1.6
Arunachal Pradesh ,238,1.7
Assam ,267,0.5
Bihar ,256,1.0
Chandigarh ,252,2.2
Chhattisgarh ,237,0.7
Dadra and Nagar Haveli ,236,4.3
Daman and Diu ,237,7.9
Delhi ,262,0.6
