States /UTs /Boards ,Average Score ,Standard Error 
Andaman and Nicobar Islands ,251,5.5
Andhra Pradesh ,271,1.0
Arunachal Pradesh ,240,1.5
Assam ,261,1.0
Bihar ,239,0.6
Chandigarh ,263,4.2
Chhattisgarh ,240,1.2
